"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG","Real-Time"
"128","Zach Charbonnet","SEA ","11","RB42","168","124","121","137.7","135  -7"
"129","Deebo Samuel Sr.","SF ","8","WR50","154","129","132","138.3","144  -15"
"130","Xavier Worthy","KC ","5","WR51","165","121","136","140.7","143  -13"
"131","Baker Mayfield","TB ","10","QB18","151","149","122","140.7","152  -21"
"132","Alvin Kamara","NO ","8","RB43","146","150","129","141.7","157  -25"
"133","Matthew Golden","GB ","11","WR52","167","122","137","142.0","123  +10"
"134","KC Concepcion","CLE ","11","WR53","183","113","134","143.3","127  +7"
"135","Tyrone Tracy Jr.","NYG ","8","RB44","186","125","120","143.7","146  -11"
"136","Jordan Love","GB ","11","QB19","135","159","141","145.0","148  -12"
"137","Tyler Allgeier","ARI ","14","RB45","177","127","135","146.3","138  -1"
"138","Rashid Shaheed","SEA ","11","WR54","161","151","128","146.7","147  -9"
"139","Cameron Dicker","LAC ","7","K2","132","134","174","146.7","134  +5"
"140","Ka'imi Fairbairn","HOU ","8","K3","123","140","178","147.0","125  +15"
"141","Brian Robinson Jr.","ATL ","11","RB46","130","161","153","148.0","163  -22"
"142","Romeo Doubs","NE ","11","WR55","193","123","130","148.7","136  +6"
"143","Philadelphia Eagles DST","","10","DST5","134","137","181","150.7","133  +10"
"144","Sam Darnold","SEA ","11","QB20","133","170","152","151.7","176  -32"
"145","Hunter Henry","NE ","11","TE16","156","145","154","151.7","154  -9"
"146","Jason Myers","SEA ","11","K4","136","136","186","152.7","131  +15"
"147","Woody Marks","HOU ","8","RB47","198","148","115","153.7","142  +5"
"148","Isiah Pacheco","DET ","6","RB48","149","171","142","154.0","172  -24"
"149","Chris Rodriguez Jr.","JAC ","7","RB49","194","138","133","155.0","126  +23"
"150","Jonah Coleman","DEN ","10","RB50","182","143","140","155.0","149  +1"
"151","Oronde Gadsden II","LAC ","7","TE17","150","126","196","157.3","173  -22"
"152","Malik Willis","MIA ","6","QB21","139","194","144","159.0","159  -7"
"153","Khalil Shakir","BUF ","7","WR56","191","141","146","159.3","151  +2"
"154","Tyler Shough","NO ","8","QB22","178","172","131","160.3","174  -20"
"155","Brenton Strange","JAC ","7","TE18","166","155","161","160.7","169  -14"
"156","Chig Okonkwo","WAS ","7","TE19","148","187","150","161.7","161  -5"
"157","Juwan Johnson","NO ","8","TE20","169","191","127","162.3","155  +2"
"158","Jalen Nailor","LV ","13","WR57","180","164","149","164.3","170  -12"
"159","Tyjae Spears","TEN ","9","RB51","200","169","125","164.7","156  +3"
"160","Jalen Coker","CAR ","5","WR58","204","147","143","164.7","141  +19"
"161","Cam Little","JAC ","7","K5","170","142","184","165.3","145  +16"
"162","Tank Bigsby","PHI ","10","RB52","184","165","148","165.7","153  +9"
