"name","team",bye,"position"
"Michael Wilson","ARI",11,"WR"
"Quentin Johnston","LAC",5,"WR"
"Dontayvion Wicks","GB",10,"WR"
"Ray Davis","BUF",12,"RB"
"Hunter Henry","NE",14,"TE"
"Adam Thielen","CAR",11,"WR"
"Troy Franklin","DEN",14,"WR"
"Tyrone Tracy Jr.","NYG",11,"RB"
"Will Levis","TEN",5,"QB"
"Geno Smith","SEA",10,"QB"
"San Francisco 49ers","SF",9,"DST"
"Cade Otton","TB",11,"TE"
"New York Jets","NYJ",12,"DST"
"Tyler Conklin","NYJ",12,"TE"
"Darnell Mooney","ATL",12,"WR"
"Bucky Irving","TB",11,"RB"
"Chigoziem Okonkwo","TEN",5,"TE"
"J.J. McCarthy","MIN",6,"QB"
"Ricky Pearsall","SF",9,"WR"
"Elijah Mitchell","SF",9,"RB"
"Ja'Lynn Polk","NE",14,"WR"
"Isaiah Likely","BAL",14,"TE"
"DeMario Douglas","NE",14,"WR"
"Roschon Johnson","CHI",7,"RB"
"Braelon Allen","NYJ",12,"RB"
"Derek Carr","NO",12,"QB"
"Daniel Jones","NYG",11,"QB"
"Bryce Young","CAR",11,"QB"
"Jermaine Burton","CIN",12,"WR"
"Dallas Cowboys","DAL",7,"DST"
"Baltimore Ravens","BAL",14,"DST"
"Dameon Pierce","HOU",14,"RB"
"Roman Wilson","PIT",9,"WR"
"Russell Wilson","PIT",9,"QB"
"Khalil Herbert","CHI",7,"RB"
"Clyde Edwards-Helaire","KC",6,"RB"
"Ben Sinnott","WAS",14,"TE"
"Brandon Aubrey","DAL",7,"K"
"Jonnu Smith","MIA",6,"TE"
"Noah Fant","SEA",10,"TE"
"Audric Estime","DEN",14,"RB"
"Justin Tucker","BAL",14,"K"
"Drake Maye","NE",14,"QB"
"Bo Nix","DEN",14,"QB"
"Wan'Dale Robinson","NYG",11,"WR"
"Cleveland Browns","CLE",10,"DST"
"Alexander Mattison","LV",10,"RB"
"Harrison Butker","KC",6,"K"
"Rashod Bateman","BAL",14,"WR"
"Marvin Mims Jr.","DEN",14,"WR"
"Pittsburgh Steelers","PIT",9,"DST"
"Mike Gesicki","CIN",12,"TE"
"Justin Fields","PIT",9,"QB"
"Ja'Tavion Sanders","CAR",11,"TE"
"Demarcus Robinson","LAR",6,"WR"
"Miami Dolphins","MIA",6,"DST"
"Jake Elliott","PHI",5,"K"
"Keaton Mitchell","BAL",14,"RB"
"Will Shipley","PHI",5,"RB"
"Juwan Johnson","NO",12,"TE"
"Kansas City Chiefs","KC",6,"DST"
"D'Onta Foreman","CLE",10,"RB"
"Malachi Corley","NYJ",12,"WR"
"Ka'imi Fairbairn","HOU",14,"K"
"Buffalo Bills","BUF",12,"DST"
"Gardner Minshew II","LV",10,"QB"
"Greg Dulcich","DEN",14,"TE"
"Younghoe Koo","ATL",12,"K"
"Tank Bigsby","JAC",12,"RB"
"Philadelphia Eagles","PHI",5,"DST"
"Tampa Bay Buccaneers","TB",11,"DST"
"Luke McCaffrey","WAS",14,"WR"
"Zach Ertz","WAS",14,"TE"
"Isaac Guerendo","SF",9,"RB"
"Jake Moody","SF",9,"K"
"Evan McPherson","CIN",12,"K"
"Odell Beckham Jr.","MIA",6,"WR"
"Houston Texans","HOU",14,"DST"
"Tyler Bass","BUF",12,"K"
"AJ Dillon","GB",10,"RB"
"Tucker Kraft","GB",10,"TE"
"Jason Sanders","MIA",6,"K"
"Las Vegas Raiders","LV",10,"DST"
"Michael Mayer","LV",10,"TE"
"Samaje Perin","DEN",14,"RB"
"Theo Johnson","NYG",11,"TE"
"Colby Parkinson","LAR",6,"TE"
"Tyler Boyd","TEN",5,"WR"
"Sam Darnold","MIN",6,"QB"
"Jalin Hyatt","NYG",11,"WR"
"Dylan Laube","LV",10,"RB"
"Jalen McMillan","TB",11,"WR"
"Cameron Dicker","LAC",5,"K"
"Kenneth Gainwell","PHI",5,"RB"
"Jelani Woods","IND",14,"TE"
"Javon Baker","NE",14,"WR"
"Zay Jones","ARI",11,"WR"
"Aidan O'Connell","LV",10,"QB"
"New Orleans Saints","NO",12,"DST"
"New York Giants","NYG",11,"DST"
"Seattle Seahawks","SEA",10,"DST"
"Michael Penix Jr.","ATL",12,"QB"
"Detroit Lions","DET",5,"DST"
"DJ Chark Jr.","LAC",5,"WR"
"Daniel Carlson","LV",10,"K"
"Daniel Bellinger","NYG",11,"TE"
"Darius Slayton","NYG",11,"WR"
"Washington Commanders","WAS",14,"DST"
"Kareem Hunt","",-1,"RB"
"Jacoby Brissett","NE",14,"QB"
"Miles Sanders","CAR",11,"RB"
"Greg Dortch","ARI",11,"WR"
"Devontez Walker","BAL",14,"WR"
"Jason Myers","SEA",10,"K"
"Jalen Tolbert","DAL",7,"WR"
"Dawson Knox","BUF",12,"TE"
"Elijah Moore","CLE",10,"WR"
"Kendrick Bourne","NE",14,"WR"
"Hayden Hurst","LAC",5,"TE"
"Matt Gay","IND",14,"K"
"Jamaal Williams","NO",12,"RB"
"Justice Hill","BAL",14,"RB"
"New England Patriots","NE",14,"DST"
"Indianapolis Colts","IND",14,"DST"
"Brenden Rice","LAC",5,"WR"
"Rondale Moore","ATL",12,"WR"
"Malik Washington","MIA",6,"WR"
"Joe Flacco","IND",14,"QB"
"Greg Zuerlein","NYJ",12,"K"
"Trey Sermon","IND",14,"RB"
"Leonard Fournette","",-1,"RB"
"Charles McClelland","",-1,"RB"
"Chicago Bears","CHI",7,"DST"
"Jake Browning","CIN",12,"QB"
"Elijah Holyfield","",-1,"RB"
"Tre Tucker","LV",10,"WR"
"Dustin Hopkins","CLE",10,"K"
"Isaiah Bowser","",-1,"RB"
"Cincinnati Bengals","CIN",12,"DST"
"Xavier Ubosi","",-1,"WR"
"Tyler Higbee","LAR",6,"TE"
"Joey Slye","NE",14,"K"
"Tristan Vizcaino","",-1,"K"
"K.J. Osborn","NE",14,"WR"
"Scotty Miller","PIT",9,"WR"
"Derek Watt","",-1,"RB"
"Dalvin Cook","",-1,"RB"
"Chase Claypool","BUF",12,"WR"
"Charleston Rambo","",-1,"WR"
"Los Angeles Chargers","LAC",5,"DST"
"Tennessee Titans","TEN",5,"DST"
"Cairo Santos","CHI",7,"K"
"Josh Reynolds","DEN",14,"WR"
"Michael Thomas","",-1,"WR"
"Noah Gindorff","",-1,"TE"
"Evan Hull","IND",14,"RB"
"Treylon Burks","TEN",5,"WR"
"Calvin Austin III","PIT",9,"WR"
"Leroy Watson IV","TEN",5,"TE"
"Jonathan Mingo","CAR",11,"WR"
"Minnesota Vikings","MIN",6,"DST"
"Jauan Jennings","SF",9,"WR"
"Cordarrelle Patterson","PIT",9,"RB"
"A.T. Perry","NO",12,"WR"
"Andy Janovich","",-1,"RB"
"Nyheim Hines","CLE",10,"RB"
"Jeff Wilson Jr.","MIA",6,"RB"
"Deuce Vaughn","DAL",7,"RB"
"Alec Pierce","IND",14,"WR"
"Elliott","Fry",-1,"K"
"Rasheen Ali","BAL",14,"RB"
"Jordan Mason","SF",9,"RB"
"O.J. Howard","",-1,"TE"
"Deneric Prince","KC",6,"RB"
"Christopher Dunn","",-1,"K"
"Mike Glennon","",-1,"QB"
"Eric Gray","NYG",11,"RB"
"Michael Gallup","",-1,"WR"
"Danny Vitale","",-1,"RB"
"Chase McLaughlin","TB",11,"K"
"Ryan Fitzpatrick","",-1,"QB"
"Michael Carter","ARI",11,"RB"
"Trey Palmer","TB",11,"WR"
"Los Angeles Rams","LAR",6,"DST"
"Bobby Holly","",-1,"RB"
"Jason Witten","",-1,"TE"
"Jacksonville Jaguars","JAC",12,"DST"
"Jerick McKinnon","",-1,"RB"
"Philip Rivers","",-1,"QB"
"Jazz Ferguson","",-1,"WR"
"Xavier Gipson","NYJ",12,"WR"
"Green Bay Packers","DST",10,"DST"
"Allen Lazard","NYJ",12,"WR"
"Ryan Succop","",-1,"K"
"Cam Akers","HOU",14,"RB"
"Blake Watson","DEN",14,"RB"
"Jonathan Brown","",-1,"K"
"Taylor Bertolet","",-1,"K"
"Kyle Sloter","",-1,"QB"
"Louis Rees-Zammit","KC",6,"RB"
